GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Genome Nexus Web App,org.cbioportal.genome_nexus,GenomeNexusAnnotation,2,102,0,0,1,28,1,9,1,9
Genome Nexus Web App,org.cbioportal.genome_nexus.web.error,GlobalExceptionHandler,62,45,0,0,6,5,6,5,6,5
Genome Nexus Web App,org.cbioportal.genome_nexus.web.error,ErrorResponse,4,9,0,0,2,4,1,2,1,2
Genome Nexus Web App,org.cbioportal.genome_nexus.web,InfoController,0,10,0,0,0,4,0,2,0,2
Genome Nexus Web App,org.cbioportal.genome_nexus.web,SignalMutationController,16,6,0,0,3,3,3,1,3,1
Genome Nexus Web App,org.cbioportal.genome_nexus.web,MyVariantInfoController,10,7,0,0,2,3,2,2,2,2
Genome Nexus Web App,org.cbioportal.genome_nexus.web,CancerHotspotsController,35,6,0,0,7,3,7,1,7,1
Genome Nexus Web App,org.cbioportal.genome_nexus.web,PdbController,0,16,0,0,0,5,0,3,0,3
Genome Nexus Web App,org.cbioportal.genome_nexus.web,AnnotationSummaryController,30,6,4,0,6,3,4,1,2,1
Genome Nexus Web App,org.cbioportal.genome_nexus.web,CuriousCasesController,5,6,0,0,1,3,1,1,1,1
Genome Nexus Web App,org.cbioportal.genome_nexus.web,SearchController,6,6,0,0,1,3,1,1,1,1
Genome Nexus Web App,org.cbioportal.genome_nexus.web,PfamController,0,16,0,0,0,5,0,3,0,3
Genome Nexus Web App,org.cbioportal.genome_nexus.web,EnsemblController,0,70,0,0,0,15,0,11,0,11
Genome Nexus Web App,org.cbioportal.genome_nexus.web,CrossReferenceController,5,6,0,0,1,3,1,1,1,1
Genome Nexus Web App,org.cbioportal.genome_nexus.web,SignalQueryController,6,6,0,0,1,3,1,1,1,1
Genome Nexus Web App,org.cbioportal.genome_nexus.web,AnnotationController,14,92,0,0,2,17,2,7,2,7
Genome Nexus Web App,org.cbioportal.genome_nexus.web,NucleotideContextController,10,6,0,0,2,3,2,1,2,1
Genome Nexus Web App,org.cbioportal.genome_nexus.web,PostTranslationalModificationController,0,17,0,0,0,5,0,3,0,3
Genome Nexus Web App,org.cbioportal.genome_nexus.web,MutationAssessorController,10,6,0,0,2,3,2,1,2,1
Genome Nexus Web App,org.cbioportal.genome_nexus.web.converters,AnnotationFieldEnumConverter,0,6,0,0,0,2,0,2,0,2
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,SignalMutationMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,VariantAnnotationMixin,9,0,0,0,4,0,4,0,4,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,GenomicLocationMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,CountByTumorTypeMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,PfamDomainRangeMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,PfamDomainMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,VariantAnnotationSummaryMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,PdbHeaderMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,SignalQueryMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,NucleotideContextMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,ProteinLocationMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,GeneXrefMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,GeneralPopulationStatsMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,HotspotMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,EnsemblTranscriptMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,IntergenicConsequencesMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,HrdScoreMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,TranscriptConsequenceMixin,6,0,0,0,3,0,3,0,3,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,ColocatedVariantMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,SignalPopulationStatsMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,ExonMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,StatsByTumorTypeMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,EnsemblGeneMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,MutationAssessorMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,TranscriptConsequenceSummaryMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,AggregatedHotspotsMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.mixin,UntranslatedRegionMixin,3,0,0,0,1,0,1,0,1,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.config,AppWebMvcConfigurer,0,11,0,0,0,4,0,2,0,2
Genome Nexus Web App,org.cbioportal.genome_nexus.web.config,ApiObjectMapper,0,236,0,0,0,49,0,1,0,1
Genome Nexus Web App,org.cbioportal.genome_nexus.web.param,PtmFilter,0,10,0,0,0,4,0,3,0,3
Genome Nexus Web App,org.cbioportal.genome_nexus.web.param,EnsemblFilter,0,31,0,0,0,13,0,9,0,9
Genome Nexus Web App,org.cbioportal.genome_nexus.web.param,SignalMutationFilter,10,0,0,0,4,0,3,0,3,0
Genome Nexus Web App,org.cbioportal.genome_nexus.web.param,TranscriptSummaryProjection,0,15,0,0,0,3,0,1,0,1
Genome Nexus Web App,org.cbioportal.genome_nexus.web.validation,GenomicLocationValidator,98,0,22,0,11,0,14,0,3,0
